Date,06EAP-138,06LAA-138,06RRD-138,07IVY-230,07OMS-230,09LBR-230
12/3/2016,516.8608333,522.2097917,499.1966667,562.6554167,579.9083333,927.2129167
12/4/2016,453.4008333,456.9575,446.795,535.3808333,547.3554167,687.9683333
12/5/2016,608.6804167,613.5570833,584.6608333,716.8454167,738.9720833,996.9645833
12/6/2016,373.7945833,379.551875,358.3475,601.0841667,621.39625,1284.710833
12/7/2016,516.6154167,521.6808333,499.13125,766.4716667,794.4904167,1211.817083
12/8/2016,591.24,607.1470833,573.2675,825.5395833,856.7558333,1068.894583
12/9/2016,629.3354167,635.2189583,618.9145833,892.4908333,922.8920833,934.5858333
12/10/2016,543.93375,549.4872917,536.1566667,603.14,620.8833333,781.3595833
12/11/2016,408.055,412.4008333,396.6908333,596.9,612.9633333,762.2970833
12/12/2016,527.3591667,532.896875,512.74,834.14375,857.6891667,757.3716667
12/13/2016,510.8066667,517.4116667,511.3045833,712.6295833,729.7604167,931.8245833
12/14/2016,452.5366667,457.9564583,449.0283333,739.4716667,764.8433333,987.0670833
12/15/2016,497.68125,511.301875,493.0466667,615.0041667,625.5266667,1003.28375
12/16/2016,491.7127083,497.1220833,491.1741667,564.1270833,582.3170833,975.0120833
12/17/2016,501.0329167,506.319375,502.1725,616.53125,634.0675,1019.079167
12/18/2016,526.82375,530.4629167,518.7833333,540.1770833,553.52125,860.2766667
12/19/2016,527.5925,529.6889583,493.32375,706.4183333,720.815,936.4054167
12/20/2016,483.3358333,485.824375,461.9666667,770.6179167,785.0529167,951.1395833
12/21/2016,547.7616667,554.0916667,528.28625,678.9091667,690.8083333,773.6625
12/22/2016,484.2604167,489.4135417,475.9429167,561.5016667,574.5970833,804.4791667
12/23/2016,537.8366667,549.3935417,518.31625,631.1366667,655.8458333,866.10625
12/24/2016,537.50625,541.0795833,537.015,536.6125,553.0058333,689.9770833
12/25/2016,525.1304167,536.6322917,545.2195833,528.5079167,548.75,686.8375
12/26/2016,518.6775,522.9420833,528.5320833,548.24,563.9525,917.215
12/27/2016,705.7354167,711.0020833,722.3716667,572.6804167,578.1908333,896.9845833
12/28/2016,497.7885417,501.385625,496.9691667,600.6058333,623.3629167,831.8929167
12/29/2016,511.3845833,514.66375,513.1629167,598.7916667,615.2883333,786.7016667
